UserName,Reviews,Rating,Date
Uttam Sharma,"One of the world marvellous monuments. Also one of the seven Wonders of the world. Nice to visit with your partner and feel the beauty of the place, each and every inches of Mahal have different attractive works. Don't miss out to see once in your lifetime.", 5 stars ,a month ago
komal aggarwal,The place is neat and clean with the proper management system. Also a good place for photography. Being the part of 7 wonders in the world it do complete justice with it., 5 stars ,a month ago
Suparba Hom Roy,It was awesome n mesmerizing experience... One of the greatest n beautiful place i have ever seen in my life ❤️, 5 stars ,a week ago
Andrey Starodubov,"Very impressive, beautiful and majestic place! It is really a Handmade masterpiece. I really recommend to visit it and to see it with your own eyes. But be aware with your pockets (pickpockets) ;) You can see a lot of monkeys, squirrels and chipmunks here. You really have to  ( you must) bargain with guides and souvenir sellers.", 5 stars ,3 months ago
Manu Verma,"One word ""MAJESTIC"" even after so many years.
Love to visit again & again .
Would prefer to go at sunrise and sunset to charm your eyes with the beauty of this Wonder😃", 5 stars ,a month ago
Sarah-Michelle Neokorides,Best wonder I've ever been to. The story behind it is so romantic and touching. Takes your breathe away to see so much love go into a building., 5 stars ,a month ago
Ashik Ivor,Really amazing place. In lifetime one should  visit this place and enjoy the beautiful scenery here. You get plastic covers on the entrance that must be worn and a lot of local guides are here who will guide you here throughout whole area. Water before the entrance enhance the beauty of the place, 5 stars ,3 months ago
Vacation Joe,This was a touching story. An Emperor that loved One of his wives like no other. She end up dying in the middle of birth and asked him before she died  to build a house like no other. He did some extreme engineering. The top-of-the-line …, 5 stars ,4 months ago
Yadvendra Sharma,"The beauty when comes in when you leave the gate. It's like you are taking the Taj with you quoted from one of the critics.

The world's most symmetrical complex. 

It is said that the minarets has been constructed slightly slanted outwards …", 5 stars ,3 months ago
Arun Chauhan,"It's my third time visit to this beautiful monument. And I went early morning around 7 A.M.,  but by crowd you would say it's peak hours. I always fall in love with this beauty. Outside you can find all eateries and souvenir shops. Do give it a visit if you are in India.", 5 stars ,3 months ago
Jay,Yes describing this place is a kind of unnecessary thing to do. All you need to visit this in some special times when the tourists are less. but this is the place where you will see the tourists for the whole year. amazing piece of art and …, 5 stars ,3 months ago
Gaurav Tulaskar,"There is a east gate and West gate for the entrance...
Foreigners are charged different amount
Photo Identity proof at the time of purchase of ticket is mandatory
Online ticket booking is also an option available
Electronic mode payments …", 4 stars ,3 months ago
Rebecca Jenkinson,One of the most beautiful and awe inspiring places I’ve been. It’s a good idea to get there very early to avoid the crowds. The detail and intricacy of the carving on the marble is amazing. It’s possible to drive here from Delhi in around 4-5 hours., 5 stars ,2 months ago
Mohammed Junaid,"The only wonder of the seven wonders in the world from India, Exceptionally Beautiful. It's different to see this place in Real that in a picture. Everyone should experience once in a lifetime.", 5 stars ,a month ago
Barbara Oliveira,Absolutely a must of if you are in India! It is so amazing the architecture and the history of this place! It is always busy so try to go early or later in the day! We also visited the museum there which was not super special but …, 5 stars ,3 months ago
Raj Gurjar,Really amazing place. In lifetime one should visit this place and enjoy the beautiful scenery here. You get plastic cover on the entrance that must be worm and a lot of local guide you here throughout whole area. Water before the entrance the beauty of the place. I love this place ❤❤, 5 stars ,3 months ago
yogender singh,"It is one of the best place in India, i came here thrice in the last 3-4 year. Everytime i come here, i saw a large number of tourist from across the globe. It is one of the wonders of the world because of its splendid masterpieces of …", 5 stars ,3 months ago
Harjeet Singh,"Taj Mahal is a symbol of Love. This marvelous building was erected by fifth Mugal Empire, Shah Jahan in the memory of his loving wife, Mumtaj. It is said that 22000 workers contributed their man force in the construction of this building …", 5 stars ,3 days ago
Lukas L,Most beautiful building of the world. The inlays in the white marble are just fantastic. Come to the sunrise if possible as the stones will glow magically. The area is kept clean and properly organized. It can get very crowded at the ticket …, 5 stars ,3 months ago
Mohammad Ithban I,"The Taj Mahal is located on the right bank of the Yamuna River in a vast Mughal garden that encompasses nearly 17 hectares, in the Agra District in Uttar Pradesh. It was built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal …", 5 stars ,3 days ago
John Martin,"The Taj Mahal will not disappoint.  It lives up to its reputation as an inspirational architectural wonder.   A thoroughly enjoyable visit.  Do your homework ahead and learn the history, buy you tickets online, there is an extra charge for …", 5 stars ,a month ago
Risal Siddiqui,Taj mehal is very beautyful n osm fort, 5 stars ,3 days ago
Oliver Kemsley,"It's iconic, but very, very crowded. I thought the views may be more impressive from across the River (saves a ticket purchase). Ticket entry is about 25 times more expensive for foreign tourists. Closed on Fridays. You receive a free …", 3 stars ,3 months ago
Ramswarup Yadav Ram,The Taj Mahal is a world 8th unique building in India. And i proud of this architecture., 5 stars ,3 days ago
Rohit Yadav,Magnificent Monument. It is spread in a very big area beautified with lush green gardens. An absolute must visit in India. In the winters it looks even more beautiful with a layer of mist and fog enveloping it. Sometimes. It gets a bit …, 5 stars ,3 months ago
Ruchi Rawat,"The Jewel of Muslim art in India. An universal admired masterpiece and also UNESCO world heritage site.No words to tell the beauty.Everyone must enjoy it by physical presence.The only disappoint thing is main mausoleum entry fee, how can a common man enjoy with his family on this huge fee. Authorities must consider this issue", 5 stars ,3 months ago
सीके _,"We visited the epic monument twice in quick succession.
First, during the day & next, on a full moon night.
The day visit was a routine affair. 
We booked tickets through the net. That saved the waiting time in a queue.
However, the booking …", 5 stars ,2 months ago
Shreyam Poddar,Just no words to describe one of the 7 wonders of the world! It seemed like a dream come true and all imaginations running wild. So clean and well maintained place of tour. Marked by its historical background this amazing monument built by …, 5 stars ,3 months ago
siva kumar,"The Jewel of Muslim art in India. An universal admired masterpiece and also UNESCO world heritage site.No words to tell the beauty.Everyone must enjoy it by physical presence.The only disappoint thing is main mausoleum entry fee, how can a common man enjoy with his family on this huge fee. Authorities must consider this issue.", 5 stars ,3 months ago
Neeraj kumar Singh,"A peaceful place to be visited in Agra. The place is visited by lot of international tourists around the world being one of the 7 wonders in the World. Generally crowded, even on the weekdays. There is a lot of space for car and bike …", 5 stars ,3 months ago
Aditi Prasad,Just no words to describe one of the 7 wonders of the world! It seemed like a dream come true and all imaginations running wild. So clean and well maintained place of tour. Marked by its historical background this amazing monument built by …, 5 stars ,4 months ago
veerappan,"Despite the fact that this is just a nice and cozy burial place with a stone tomb in the middle, it is really worth visiting. Very impressive.", 5 stars ,a week ago
Chintan Bhanushali,"Epitome of Beauty

when you enter you feel like life is all about perspective; the way we see things when we look at them from a certain distance and it allows us to appreciate their true value.

Highlight of India.

Gem of India 

Wonder or the world", 5 stars ,2 months ago
Deepa N,"A place must visit for people who love art and it's beauty. This place is so connected to family, love and commitment. Value to relationship can be understood if you get into the monument and it's history way back 1600.", 5 stars ,3 months ago
Simas Kruckauskas,No wonder it is one of the wonders of the world! My jaw dropped so many times because of the view. I also very much recommended this tour guide. His storytelling was worth every rupee (be sure to bargain at the gate and they'll settle for 1/3 of the initial asking price), 5 stars ,3 months ago
Vishisht Sahu,"An exquisite beauty,  Taj Mahal is one of the best examples of symmetry. The building is a beauty in white. I had visited here two years back and was mesmerized by its grandeur and perfect design. Proud to say that this is one of the seven …", 5 stars ,a month ago
Rafael Pacheco,"Amazing place! You can see that they try to preserve at maximum this monument.
The best time to come might be around 10am, its still crowded but people are sparse around the whole complex.
Tickets for foreigners can be booked online and price is 1250 rupees with the entrance to the mausoleum.", 5 stars ,3 months ago
Prince Jose,The world's most symmetrical complex. The beauty when comes in when you leave the gate. It's like you are taking the Taj with you quoted from one of the critics. Handling the most complex construction with the simple and basic tools is the …, 5 stars ,4 months ago
NIVESH MANECKCHUND,"Absolutely stunning, the workmanship and love that went into building the Taj Mahal is unreal.  Don't worry about taking your camera, there are many photographs there that will get you the best picture and it won't cost much", 5 stars ,2 weeks ago
Arvind Chaudhary,"If You have asked me to tell about my most favorite and loving place, than I can spend a whole day in writting about it. Taj Mahal is the monument which could be taken as the fine example of amazing artistic work. Around 10, 000 people, …", 5 stars ,3 days ago
Devansh Singh,"It is a wonderful place. Buying tickets is not as complicated as having read reviews before.
After purchasing a pass
The atmosphere is loose.
Did not push in any way
The people who come here are mostly foreign tourists.
As for the Indian …", 5 stars ,4 months ago
Anjali Sharma,I love this place. Friday close if you want go some special person then go for it but gone  only October to March this time not so hot so you can enjoy your moment Happily, 5 stars ,2 months ago
Central Bureau of Investigation,"No words to explain the beauty of this marvelous building located in agra tourist around the world come here just to feast their eyes on this marvel, the one of the best tourist spot on the entire planet, you will never get tired of staring at this marvelous structure. Just go there and enjoy!!!", 5 stars ,a month ago
SK Singh,bery beautiful place 😍 i take wife nd kids here and we took awesome pictures. Highly recommend this great piece of history., 5 stars ,2 weeks ago
R S,No words to say  well constructed with lots of emotions of love portrayed on every nook n corner..  White marble design elegant style of construction ... Very lovely place... Iconic symbol of love, 5 stars ,3 months ago
Maruf Hossain,Just wow. This place is really beautiful with lots of gorgeous architectural beauty. Wish i will be there again., 5 stars ,3 weeks ago
Manoj Kumar,"Very impressive, beautiful and majestic place and worthy among the wonders of the world. It is really a Handmade masterpiece. I really recommend all to visit the Taj and if possible plan your visit during winters when the weather is good …", 5 stars ,3 months ago
Sibi Bahuleyan,"Very good and attractive place for me and everyone in my knowledge. The ambiance is very much attractive even we can will repeatedly visit and stay here. When we look this world famous symbol of love, we also undergone such a lovely feeling …", 5 stars ,5 months ago
Shivang Chaturvedi,A great piece of architecture by Muhgals.. World heritage and one of the 7 wonders of the world, 5 stars ,2 weeks ago
PIYOOSH YADAV,"💯💯💯💯💯💯💯💯👌👌👌👌👌👌👌

The Taj Mahal was built by the Mughal emperor Shah Jahān (reigned 1628–58) to immortalize his wife Mumtaz Mahal (“Chosen One of the Palace”). She died in childbirth in 1631, after having been the emperor’s …", 5 stars ,4 days ago
Abhishek Sharon,Taj Mahal needs no introduction. This monument is on the list of the Seven Wonders of the World. No wonder people swarm in flies all year round to witness the magnificence of his beauty. This monument is located in India in the city of Agra …, 5 stars ,4 days ago
Jannat Ara Kalam Kona,"I have visited Taj Mahal twice. I would say the journey to it and the entire place is amazing. It's welcoming, with guides. Only problem is they increased ticket prices hugely.", 4 stars ,a month ago
ANKIT PRAJAPATI,"It is a unique place in the world. It is one of the seven wonders of the world.
Many tourist from various countries come and enjoy the beauty of it.
It is a sign of love. Many BF-GF comes here to propose each other.
It is a very very good place to visit. You should must come here and enjoy it's beauty. Thank you", 5 stars ,3 months ago
tushar. cold,"This place is the idol for two people who are in relationship and love each other. Great place to visit in Agra, uttar Pradesh, India. If you visit India and don't come here is totally lost an opportunity to something really good. Thank you. Have a good day", 5 stars ,3 months ago
Marco Miglietta,"SPECTACULAR !!!! one of the seven wonders, and I can confirm that his presence on this ranking is right.
Not only for the majesty of the structure, but also for the inlays of onyx and translucent stones.
The grounds are huge and kept to …", 5 stars ,3 months ago
Manvendra Singh,"Among the world famous monuments
If On A India Trip Or A Delhi Trip A Must visit place in center of Agra City", 5 stars ,2 weeks ago
priyanka singh,"Beautiful monument. Try to go in early or late winters  as in pleasant weather because the marble starts burning with the sun rays.
There is a good musical fountain show in the late evening in the fort best to it", 5 stars ,4 months ago
Mark S Smith,Did not realize the Taj Mahal was a mausoleum!!  I thought it was a palace.   But it is actually contains an eight sided structure that is pretty basic on the inside but adorned with a phenomenal structure on the outside.  This is a must-see destination if you are in India for sure!!, 5 stars ,a month ago
Aman Mishra,"As you know that it is also called the sign of ""LOVE"" ... People across the world come here and become a proof of this Incredible place... I personally recommend you to visit here once with all your family and friends... It's situated on …", 5 stars ,3 weeks ago
Dan M,"One of the 7 marvels of the World
Definitely high on your Top 10 Bucket List, Worldwide!!
Do not miss it for the World, even when it is scalding hot (meaning over 45C)
Just take a hat and drink lots lots of water (lots of it)", 5 stars ,2 months ago
Abhishekh Singh,"A must place to visit. You can opt for going early if you want to take pictures (less crowded). Friday is closed, so Saturday is over crowded. Petrol n diesel vehicles are not allowed nearby so better if you use e rickshaw ( avoid reserving it, go for sharing else they will charge Rs300, which is not worth). Else enjoy your visit.", 5 stars ,4 months ago
Albin Thomas,The wonder of world.. I couldn't take my eyes from it.. Best place to capture the pictures.., 5 stars ,a month ago
Attitude Is Everything,A must visit place before u die. The majestic mausoleum. It's looks heavenly at sun set. You're bound to fell this beauty., 5 stars ,3 months ago
Hari Krishna,Really such a wonder of the world. Really this place is more Lovable and really lovable gift to India. From Agra fort we went prepaid auto just 300rs. Half a day we spend only same price. Really just go from Agra fort if you come in train., 5 stars ,3 months ago
Tushar Kant Sahu,Truely the wonder of the world. Was completely mesmerized by its beauty. A must visit place of every person on earth atleast once in lifetime., 5 stars ,a month ago
chirantan sharma,"This place is 10 stars out of 5. You have to see it to believe it. Now I have no doubt that why it is one of the world's wonder. This place has some magnetic force, it pulls you towards it.

If you are planning to visit, try visit around poornima and buy night tickets, it's a must.

If you are in Agra, don't miss chat at Agra chat.", 5 stars ,3 months ago
Sam Shar,I mean who gives less than 5 stars to a piece of history and Heritage! glad that we could visit and take our kids there, 5 stars ,a month ago
NAVEEN RANA,Most beautiful monument of India. I believe that most beautiful from 7 wonders. Visited many times and every time it feels like visiting first time. I feel those were the best days when I was in Agra and used to visit Taj Mahal, 5 stars ,a month ago
Harry Baulz,Amazing place. I heard that Donald Trump was planning on buying it., 5 stars ,3 days ago
Siddu Karavalli,"One word is all it takes to describe this beautiful lady WOW there is no another monument like this that captures your heart from the moment you see this beauty. Truely a day I will hold close to my heart forever.

I mist recommend to everyone to visit. ❤❤", 5 stars ,4 months ago
Neeraj V,"Indeed a very beautiful place as all the books read, however its very very crowded & if you are with family , its better to take a guide that gives you info.about rules & procedures & ways .

Its a vast space & needs too much walking so …", 5 stars ,a month ago
Ahmad Suleman,"The Taj Mahal is located on the right bank of the Yamuna River in a vast Mughal garden that encompasses nearly 17 hectares, in the Agra District in Uttar Pradesh. It was built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal …", 5 stars ,4 days ago
Manvinder Singh sandhu,"It is symbol of love.. 
As well as It is a seven wonder of the world.. Besides this, This building is eminent in the entire world due to which India feels proud in this planet.. 28 million tourists visit in per year ..
Admittedly, A survey …", 5 stars ,3 months ago
abhinav vatsayan,"The monument itself is beautiful but my 3rd visit here. 

The thing that impressed me the most is  that, the place is cleaned up in a way for the better. 

All the way from buying tickets which you can online now, to entry que to general feel of the place.

The whole process is less cumbersome now and easy.", 5 stars ,3 months ago
macedonboy,"Luckily visited back in December 2019 before the shutdown.

Having seen and read so much about the Taj Mahal that I was both impressed and underwhelmed. Impressive because it truly is a magnificent example of Mughal architecture, and …", 5 stars ,2 weeks ago
Makhanlal Maity,It truly reflects the depth of love of  Shah Jahan for her wife Mumtaz Mahal. The vibrant white colour highlights the purity of their love., 5 stars ,3 weeks ago
Vijaya Lakshmi,I love place 😍 very much because Taj Mahal is very beautiful so nice 💞, 5 stars ,a week ago
Ben Hurley Scarbro,"What are you reading reviews for? It's one of the most famous buildings in the world. Go see it.
Foreigners pay a huge amount extra and stand in separate lines, so don't miss that if you're figuring out your journey on the fly.", 5 stars ,2 months ago
Marie Marsh,AMAZING !!!  Most beautiful building I have ever seen in all my many travels. Go early in the morning as it gets extremely busy. You cannot take photos inside but there are guides there to give you information. They look for money though!!, 5 stars ,3 months ago
Jaseem JB,Best architecture i have ever seen in my life., 5 stars ,a week ago
VIPIN DAS,The symbol of love. One of the wonders. Must see this if visiting India. But go in winters, 4 stars ,a month ago
Lokesh Choudhary,"Marvelous and stanning place I ever seen it is really a wonder of architect.
It is built from white marble its beauty magnify during moon light.
Well maintained and clean place
Thousands of tourists come to visit this wonderful monument daily", 5 stars ,3 months ago
Suhit Shah,"Just one word for this....Overrated.
Instead you can invest your time and money to visit ancient temples they are more beautiful than this because of their Mesmerizing Architecture", 1 star ,3 weeks ago
Nipun Aggarwal,"Beautiful, it's another gateway of that beauty which our ancestors, our great architectures gifts by their precision, accuracy and engineering. More than a symbol of love or deal of great amount, it's a great engineering and precisely modelled by our great Indian scholars and forefathers.", 5 stars ,a month ago
Simranjot Singh,"The Taj Mahal is located on the right bank of the Yamuna River in a vast Mughal garden that encompasses nearly 17 hectares, in the Agra District in Uttar Pradesh. It was built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal …", 5 stars ,5 days ago
Ramnagendra Jadaun,Taj Mahal is one of the seven wonders of the world ... Today I know about this why it is a wonder which was created in India and known as ''The Symbol Of Love'' ., 5 stars ,2 weeks ago
Simone P,"Of course a must when your in India, I visited in the afternoon from 4pm. Alot of nationals constantly want to take photos with western so be prepared for that it can get full on especially for the ladies. It was nice to be able to sit down over in the side and just take all the hustle and bustle in.

Allow 2-3hours to explore fully.", 5 stars ,3 months ago
Moon PR,"Just mesmerising when it comes to the beauty of the place. The well laid gardens, the sitting arrangements, the majestic minerets speaks volumes about the place. Only thing was it was a bit crowded at the entry point. Once you enter you just forget everything around you.", 5 stars ,a month ago
Sameer Khan,Symbol of Love beautiful from every corner and number 1 wonder of the world what a architecture of the old times one should visit to see the real beauty of it, 5 stars ,a month ago
Omair Ajaz,"Once in a lifetime visit. Very beautiful.
Wonders of the World. INDIA ❤️", 5 stars ,a month ago
Balan Tk,"Really beautiful and amazing place to spend your time with your loved one., it was awesome and amazing experience wow........", 5 stars ,2 weeks ago
Gurdin Yadav,"Tajmahal is really beautiful in the world. It is wonderful place, I suggest that you will come with her lover abd enjoy, Sahjahan Shah Jahan built the Taj Mahal in memory of his wife Mumtaz Mahal, the Taj Mahal is built of marble stone, it is built on the banks of river Yamuna.", 5 stars ,a week ago
Devendra Carpenter,"It is a beautifully constructed building, it is made of white marble, which makes it look fabulous and shiny. It keeps attractive lawns, ornamental trees, beautiful animals etc. in the surrounding areas. It is located on the banks of river …", 5 stars ,a week ago
rami kaushik,"So basically it is a very huge monument which is esteblished by mughal emperor Shahjahan for her wife mumtaj, her grave is also here. Taj mahal seems same from every direction, you can also see yamuna river through the backside, and yes a …", 5 stars ,6 days ago
Bhagmal Patiyal,"One of the 7 wonders of the world , and the crown of India , one of the best place ever in India .there is long story behind taj Mahal . Love this Place .", 5 stars ,3 weeks ago
Vignesh S,"The giant marble wonder. Stunning piece of stone work.
The surrounding places from the monument can be maintained properly. You can find decent hotels/hostels/restaurant around the monument.", 5 stars ,4 months ago
Jesus Vazquez,"I never thought I would ever visit such a majestic place. It was such a beautiful place with amazing views and historical significance. Visiting and understanding this place will probably ine of the best experiences in my life. If you are visiting India, this is a must go on your list.", 5 stars ,4 months ago
om_kodi arasan,Taj mahal is one the seven wonders of our world.its a one of the main and attractive monument of india.its symbol of love.its historical monument of india.its build an Ivory white marbles.its located an yamuna river in Agra.its build by shah jahan.He was a great muhal emperor in india.unesco is declared its a world heritage site., 5 stars ,a week ago
Srimanta Kumar Dash,"One of the best place in india..tomb of his favourite wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself. The tomb is the centrepiece of a complex, which includes a mosque and a guest house, and is set in formal gardens …", 5 stars ,2 weeks ago
Celine,It is a magical place.. and it's a symbol of eternal LOVE, 5 stars ,a month ago
Juwairiya Athar,"Visited so many historical places, but this one's real beauty.. Peace, calm, love, serenity.. Totally in awe of this beauty😍 No wonder why it's among the seven wonders of the world.. ❤️", 5 stars ,4 months ago
Disha Patel,Mesmerizing experience. Such a peaceful and serene place. There can't be anything more beautiful than this. Truly the pride of India 🇮🇳, 5 stars ,3 months ago
nagesh pulamarasetti,"Pro's- 
It's beauty is awesome & one of most critical structure built in olden days. Also has some mysteries in it. Beautiful architecture. 
Con's - 
1.Provison of Drinking water to be improved. 
2. Even though the fares of visiting inside …", 4 stars ,3 months ago
Sahin Munshi,"Taj Mahal is a most attractive and popular scenery look historical place. It is located in the Agra, Uttar Pradesh. It is situated in very large area at very beautiful place having river on back side. It looks like natural scenery. It looks …", 5 stars ,2 weeks ago
rajnish bhagat,Taj Mahal is one the seven Wonders of the world. Security on Taj Mahal is very good as it is included in Historical place and one of seven Wonders. Everyday lakhs of tourist come to see the Taj Mahal and enjoy the Atmosphere of Taj Mahal. No need to worry about security reasons. Overall I love Taj Mahal., 5 stars ,5 months ago
RAMESH CHANGEDIA,The wonderful place for world😊😯👌👍🏿👏🌞🇮🇳🇮🇳, 5 stars ,3 weeks ago
Dinu Deji,"A must see. I would recommend a guided tour, but be aware of the scammers around (or even the ones recommended by your hotel, taxi driver etc.), as this is a big sub-industry around. Huge number of souvenir sellers will make your exit from the complex a real challenge. Pay big attention to pickpockets, as well!", 5 stars ,3 months ago
Dinu Dinesh,"That's nice place to travel their I enjoyed a lot and this is place for foreign visitor's in India
It is a symbol of love
And also It was built by shahjahan for his love mumtaj", 5 stars ,a month ago
JAAT DEVTA666ANGELBROKE,"Till there is a story in the palace which is not known like Karuna till date, there is a love story hidden behind this story, which only and only May has known?", 5 stars ,a month ago
Navneet Kaur Puri,"A must visit place. Amazing art work, designs and mind blowing techniques used to build it.", 5 stars ,4 weeks ago
Aman Kumar,Loveliest place. Many tourists came to visit this place. Everyone should visit this place. Foreigners also come to visit Taj Mahal. Neat and clean place. You can visit inside this. There is graveyard of Mumtaz inside it. It can be clearly seen. Too much crowd can be seen also in normal days., 5 stars ,a month ago
Jenil Katrodiya,"What a beauty it is... Really Amazing...
The structure of the Taj  is also beautiful... And if you want to enjoy the beauty of this place 
 please do visit here...
When you enter at theis place you'll feel amazing...
You don't want to go …", 5 stars ,3 months ago
Almaaz Ahmed,Omg. This is the best place on this world. A mark of love. Once in a life moment. Huge crowd from all over the world with lots of different language and culture. One can discover a huge variety of people just to see an amazing piece of art and love. Amazed by the architect and beauti of the structure., 5 stars ,3 months ago
Dave Johnson,Gardens lovely. Very crowded. Can't see much because fairly dark in the building. Well worth the visit, 4 stars ,3 months ago
Ashu's watch,The yamuna behind taj mahal is really in pathetic condition. It is just a good photo place., 1 star ,3 weeks ago
Guru Kirpa,"Shah Jahan built in loving memory of his beloved wife Mumtaj Mehal. Unfortunately Shah Jahan's  son imprisoned him and captured his power and became Emporer of India. Shah Jahan spent his imprisoned life from where he 
Could see Taj Mahal  and wept in the memory of his beloved wife and siezed Emporer.", 4 stars ,2 weeks ago
Anand Pandya,"Yes, it is excessively familiar to everyone and excessively popular with constant throngs. (Not to mention so exorbitantly priced for foreigners!) But it still manages to fill its visitors with joy because it is so perfectly proportioned, …", 5 stars ,3 months ago
Rajarshi Sanyal,"The Taj Mahal is an enormous mausoleum complex commissioned in 1632 by the Mughal emperor Shah Jahan to house the remains of his beloved wife. Constructed over a 20-year period on the southern bank of the Yamuna River in Agra, India, the …", 5 stars ,3 weeks ago
Saran R.S,Awesome creation. It's a world heritage sight. Mausoleum made only with white marbles., 5 stars ,2 months ago
Rajeev Kumar Chaurasia,This place is situated at Agra city of Indian state Uttar Pradesh. This place is a major tourist attraction not only for Indians but for foreigners also. This place is having some greenery also which makes it more important as natural perspective. This is a historical place. There are many places to see inside the premises., 1 star ,3 months ago
Injamul Ahmed Shad,Very calm place. A masterpiece. U can get a romantic vibe there. 🥰😍 U can sit in the marble & enjoy the beauty. The beautiful structure will make u feel better & calm. Totally worth visiting. In Sha Allah will be visit soon ❤️ Fallin in love with the place., 5 stars ,3 months ago
Anuj Carpenter,"One of the 7 wonders of the world. 
It is also known as the symbol of love. 
 It was commissioned in 1632 by the Mughal emperor Shah Jahan  to house the tomb of his favourite wife, Mumtaz Mahal.", 5 stars ,3 weeks ago
